,Date,ShortVolume,TotalVolume
139,20200723,2086786688.0,4423576551.0
140,20200724,1870295270.0,3970208457.0
141,20200727,1920848348.0,4021488958.0
142,20200728,1839027281.0,3916617610.0
143,20200729,1906833371.0,4031070414.0
144,20200730,1923209491.0,4041064560.0
145,20200731,1992151830.0,4130930424.0
146,20200803,1904444694.0,4212499039.0
147,20200804,1911323397.0,4084044479.0
148,20200805,1980008886.0,4221834324.0
149,20200806,1952857501.0,4136767664.0
150,20200807,1890016126.0,4133286544.0
151,20200810,1807731598.0,4040779587.0
152,20200811,2061872349.0,4567088255.0
153,20200812,1820187414.0,3923560071.0
154,20200813,1729057785.0,3648897695.0
155,20200814,1520961082.0,3263631145.0
156,20200817,1495124565.0,3248070897.0
157,20200818,1563013096.0,3305252614.0
158,20200819,1658401070.0,3585701006.0
159,20200820,1813378532.0,3753908005.0
160,20200821,1649894877.0,3554811790.0
161,20200824,1671874025.0,3791292218.0
162,20200825,1604576935.0,3556761334.0
163,20200826,1685209332.0,3622534809.0
164,20200827,1666958224.0,3731686190.0
165,20200828,1476857904.0,3327743958.0
166,20200831,1594770192.0,3518553888.0
167,20200901,1641162425.0,3653628920.0
168,20200902,1753087173.0,3986577522.0
169,20200903,1909444023.0,4404379945.0
170,20200904,1822284170.0,4167398647.0
171,20200908,1672341403.0,3709927763.0
172,20200909,1547136251.0,3421060462.0
173,20200910,1691006490.0,3628482934.0
174,20200911,1545974872.0,3287321943.0
175,20200914,1539985111.0,3414521643.0
176,20200915,1643635552.0,3613499795.0
177,20200916,1641737876.0,3731217532.0
178,20200917,1730596388.0,3707499493.0
179,20200918,1759949515.0,3686250452.0
180,20200921,1789413135.0,3904512957.0
181,20200922,1544340179.0,3393684039.0
182,20200923,1855460175.0,3955947298.0
183,20200924,1886238904.0,4068916358.0
184,20200925,1662062637.0,3560694406.0
185,20200928,1563313786.0,3408302052.0
186,20200929,1617703925.0,3453919175.0
187,20200930,1864400888.0,3949493974.0
188,20201001,1785057300.0,3772649528.0
189,20201002,1580664359.0,3509152237.0
190,20201005,1528780414.0,3408783788.0
191,20201006,1906276088.0,4121290524.0
192,20201007,1686800180.0,3694479158.0
193,20201008,1738825735.0,3831454241.0
194,20201009,1680900445.0,3705280999.0
195,20201012,1579365671.0,3505544930.0
196,20201013,1593562504.0,3455283464.0
197,20201014,1583947724.0,3516036044.0
198,20201015,1510218566.0,3303109978.0
199,20201019,1619556946.0,3542329590.0
200,20201020,1605053131.0,3505386579.0
201,20201021,1613473451.0,3531208120.0
202,20201022,1525486783.0,3466685938.0
203,20201023,1421622968.0,3144911162.0
204,20201026,1579608472.0,3422248019.0
205,20201027,1411795816.0,3140920321.0
206,20201028,1857204433.0,4139700633.0
207,20201029,1678246308.0,3664260887.0
208,20201030,1696236371.0,3644343681.0
209,20201102,1552762640.0,3432934577.0
210,20201103,1545876776.0,3439467932.0
211,20201104,1760962356.0,3819651757.0
212,20201105,1891895477.0,4130934996.0
213,20201106,2037241920.0,4185335483.0
214,20201109,2609505243.0,6015148368.0
215,20201110,2097616652.0,4752765402.0
216,20201111,1775060253.0,3890496848.0
217,20201112,1943472191.0,4114586884.0
218,20201113,1888460347.0,4124979623.0
219,20201116,2043726016.0,4452724592.0
220,20201117,2073186567.0,4530298857.0
221,20201118,2251433996.0,4916671594.0
222,20201119,2195299671.0,4633298500.0
223,20201120,2104718449.0,4558772846.0
224,20201123,2363943640.0,5243397330.0
225,20201124,2877677129.0,6193546297.0
226,20201125,2171843098.0,4691306818.0
227,20201127,1480383586.0,3190750762.0
228,20201130,2927088202.0,6139724211.0
229,20201201,2768571062.0,5959023128.0
230,20201202,2341139472.0,5019908573.0
231,20201203,2232434891.0,4892813749.0
232,20201204,2267173126.0,4907490338.0
233,20201207,2139163504.0,4647806253.0
234,20201208,2040188481.0,4566718189.0
235,20201209,2312908194.0,5031721777.0
236,20201210,1925010763.0,4354664050.0
237,20201211,1901883995.0,4151897195.0
238,20201215,1927857099.0,4286074799.0
239,20201216,1826932937.0,4063809334.0
240,20201217,2046543257.0,4514154795.0
241,20201218,2053142291.0,4472111263.0
242,20201221,2117584235.0,4701033669.0
243,20201222,2278260212.0,4967991039.0
244,20201223,2754305540.0,5839585174.0
245,20201224,1441262921.0,3013662321.0
246,20201228,2149682488.0,4555295581.0
247,20201229,1998602537.0,4286969243.0
248,20201230,2139256925.0,4521091267.0
249,20201231,1924238260.0,4032375379.0
250,20210104,2882206978.0,6082569310.0
251,20210105,3206629920.0,6643059865.0
252,20210106,3287580293.0,7075666125.0
253,20210107,2935524624.0,6311491064.0
254,20210108,3060353528.0,6565864755.0
255,20210111,3168055973.0,6692704105.0
256,20210112,3359762395.0,7265015705.0
257,20210113,2969567063.0,6492452616.0
258,20210114,2986995538.0,6700342944.0
259,20210115,2864974273.0,6233045618.0
260,20210119,2865046192.0,6437448647.0
261,20210120,2944432207.0,6343455591.0
262,20210121,2777631979.0,6284217986.0
263,20210122,2499428285.0,5853875253.0
264,20210125,3120611723.0,7380308321.0
265,20210126,2795340036.0,6548179642.0
266,20210127,3965051656.0,10032670190.0
267,20210128,3526835165.0,7824337557.0
268,20210129,3025535266.0,6772745554.0
269,20210201,3253133978.0,7072921280.0
270,20210202,2873825389.0,6423254744.0
271,20210203,2770880821.0,6425933676.0
272,20210204,2868542789.0,6462721641.0
273,20210205,2798062732.0,6296731135.0
274,20210208,3088644939.0,7100937274.0
275,20210210,3967613314.0,8773847555.0
276,20210211,3835518682.0,8285273626.0
277,20210212,2724792325.0,6142497931.0
278,20210216,2948679549.0,6615361071.0
279,20210217,2802699564.0,6399479066.0
280,20210218,2511131841.0,5754146718.0
281,20210219,2457724583.0,5913634326.0
282,20210222,2518522187.0,6022875795.0
283,20210223,2703381045.0,6731865143.0
284,20210224,2397023979.0,5715395220.0
285,20210225,2689894122.0,6151297239.0
286,20210226,2316260849.0,5591122209.0
