,Company,Events,Average,Penetration,ClosePenetration
0,MMM,200,2.375,0.009664379722862744,-0.0005368047612549114
1,ABT,216,2.3981481481481484,0.01217522164052334,-0.0003785308841811279
2,ABBV,195,2.651282051282051,0.015879938224377093,0.0014216370796253002
3,ABMD,203,2.70935960591133,0.022043435133157416,0.0017273541195425765
4,ACN,221,2.3710407239819005,0.009665077567812017,-0.0015677738240034867
5,ATVI,204,2.4411764705882355,0.016869679883129932,-0.001422980953201953
6,ADBE,218,2.6559633027522938,0.016189095519818057,0.0022999179427810926
7,AMD,195,2.6923076923076925,0.03851793939796172,0.011063824994158469
8,AAP,205,2.229268292682927,0.015317312260056615,-0.0018997143603788655
9,AES,211,2.2985781990521326,0.014971646639817683,-1.369991509336522e-05
10,AFL,225,2.16,0.011607927533366386,0.00027637562068083484
11,A,229,2.37117903930131,0.011065999696240298,-0.001091496326740958
12,APD,225,2.2577777777777777,0.00987719947147929,-0.0006821070900848237
13,AKAM,223,2.286995515695067,0.012771043078187347,-0.0016050384135580288
14,ALK,217,2.262672811059908,0.020686411440459677,0.002898581385838916
15,ALB,217,2.327188940092166,0.019567442879046545,0.0009816554230089565
16,ARE,230,2.256521739130435,0.01034494977780442,-0.0014550156880347833
17,ALXN,183,2.33879781420765,0.019852466823493627,-0.0024033339841804512
18,ALGN,200,2.67,0.02081189992074929,0.0005285219909291531
19,ALLE,219,2.4246575342465753,0.012612375998244578,0.00015178447649081956
20,LNT,220,2.3954545454545455,0.011824751209831204,0.00015664282290817283
21,ALL,217,2.2211981566820276,0.010116234847355954,-0.0011115706631357849
22,GOOGL,197,2.527918781725888,0.012869148930530695,0.0014812012692306694
23,GOOG,193,2.66839378238342,0.012905865087564618,0.0006888986409365603
24,MO,206,2.354368932038835,0.012222634187392745,-0.001644433171055638
25,AMZN,205,2.4926829268292683,0.01769890982614941,0.003895744551768855
26,AMCR,140,1.7357142857142858,0.007260524767002658,-0.0017750985511478237
27,AEE,207,2.5652173913043477,0.01130927395506228,-0.0012231661707759604
28,AAL,210,2.2904761904761903,0.02857081411187571,0.0056700991684244285
29,AEP,204,2.411764705882353,0.010935019836212772,0.00039535652668814446
30,AXP,210,2.4571428571428573,0.013335966176788519,0.0020317825727604625
31,AIG,234,2.230769230769231,0.015007252972267607,0.0012877580094944505
32,AMT,224,2.4375,0.012284038920260188,-0.0004863852639789847
